,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
135,20201026-020196,7.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.0,0.0,0.0,0.0,1
136,20201026-020200,17.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.2,0.0,0.0,0.0,0.0,1
137,20201026-020201,43.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39.4,0.0,0.0,0.0,0.0,1
138,20201026-020228,14.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14.4,0.0,0.0,0.0,0.0,1
139,20201026-020235,56.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,35.2,0.0,0.0,1
140,20201026-020237,64.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.2,0.0,0.0,0.0,0.0,1
141,20201026-020238,60.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,54.0,0.0,0.0,0.0,0.0,1
142,20201026-020240,26.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,10.2,5.8,0.0,1
143,20201026-020245,125.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,67.8,0.0,0.0,0.0,0.0,1
144,20201026-020247,21.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
145,20201026-020253,8.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.0,0.0,0.0,0.0,0.0,1
146,20201026-020254,32.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,20.8,0.0,0.0,0.0,1
147,20201026-020256,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2.4,0.0,0.0,1
